"Week_ending_Friday","Week_number","Status","Dubai_crude_USD.p.bbl","NZ_US_exrate","Dubai_crude_NZD.p.bbl","Diesel_importer_cost_NZc.p.l","Diesel_ETS_NZc.p.l","Diesel_GST_NZc.p.l","Diesel_taxes_NZc.p.l","Diesel_price_excl_taxes_NZc.p.l","Diesel_main_port_price_NZc.p.l","Diesel_discounted_retail_price_NZc.p.l","Diesel_importer_margin_NZc.p.l","Diesel_margin_trend_NZc.p.l","Petrol_importer_cost_NZc.p.l","Petrol_ETS_NZc.p.l","Petrol_GST_NZc.p.l","Petrol_taxes_NZc.p.l","Petrol_price_excl_taxes_NZc.p.l","Petrol_main_port_price_NZc.p.l","Petrol_discounted_retail_price_NZc.p.l","Petrol_importer_margin_NZc.p.l","Petrol_margin_trend_NZc.p.l","Diesel_main_port_price_excl_taxes_NZc.p.l"
2013-02-01,"2013w05","Final",110.27,0.8367,131.79156208916,103.917189853427,0.9345,18.9202898550725,19.2952898550725,124.825765700483,149.9,145.055555555556,20.9085758470559,24.6805391711352,100.574985777115,0.8085,26.8612836438923,87.9902836438923,117.137724292616,211.614285714286,205.936507936508,16.5627385155002,21.9758290383626,129.038326086957
2013-02-08,"2013w06","Final",112.2,0.8409,133.428469496968,106.495875949749,0.9345,19.0320910973085,19.4070910973085,125.57110731539,150.757142857143,145.912698412698,19.0752313656412,24.7074978307362,103.792619379306,0.8085,27.3830227743271,88.5120227743271,120.615985162181,215.614285714286,209.936507936508,16.8233657828752,22.0355434811974,129.783667701863
2013-02-15,"2013w07","Final",112.99,0.84196,134.198774288565,107.800601903431,0.9345,19.4047619047619,19.7797619047619,128.055579365079,153.614285714286,148.769841269841,20.2549774616487,24.7344564903372,105.998680249648,0.8085,27.9047619047619,89.0337619047619,124.094246031746,219.614285714286,213.936507936508,18.0955657820978,22.0952579240322,132.268139751553
2013-02-22,"2013w08","Final",110.72,0.84126,131.612105651047,106.692783326427,0.9345,19.5724637681159,19.9474637681159,129.17359178744,154.9,150.055555555556,22.4808084610125,24.7614151499383,105.107188005508,0.8085,28.0724637681159,89.2014637681159,125.212258454106,220.9,215.222222222222,20.1050704485983,22.154972366867,133.386152173913
2013-03-01,"2013w09","Final",107.54,0.82914,129.700653689365,104.977267017258,0.9345,19.5724637681159,19.9474637681159,129.17359178744,154.9,150.055555555556,24.1963247701818,24.7883738095393,102.920004804616,0.8085,28.0724637681159,89.2014637681159,125.212258454106,220.9,215.222222222222,22.2922536494899,22.2146868097018,133.386152173913
2013-03-08,"2013w10","Final",105.72,0.82786,127.702751672988,102.6067819124,0.9345,19.4047619047619,19.7797619047619,128.055579365079,153.614285714286,148.769841269841,25.4487974526789,24.8153324691403,100.478521396413,0.8085,27.9606625258799,89.0896625258799,124.466916839199,220.042857142857,214.365079365079,23.9883954427864,22.2744012525366,132.268139751553
2013-03-15,"2013w11","Final",105.26,0.82276,127.935242355,102.335665724784,0.9345,19.1811594202899,19.5561594202899,126.564896135266,151.9,147.055555555556,24.229230410482,24.8422911287413,100.065021831431,0.8085,27.8115942028986,88.9405942028986,123.473128019324,218.9,213.222222222222,23.4081061878927,22.3341156953714,130.777456521739
2013-03-22,"2013w12","Final",104.55,0.82666,126.472794135437,101.253220420912,0.9345,19.1811594202899,19.5561594202899,126.564896135266,151.9,147.055555555556,25.3116757143541,24.8795594826729,99.3500119014734,0.8085,27.6997929606625,88.8287929606625,122.727786404417,218.042857142857,212.365079365079,23.3777745029434,22.3965416542481,130.777456521739
2013-03-29,"2013w13","Final",105.68,0.8365,126.335923490735,98.7540840577284,0.9345,19.1811594202899,19.5561594202899,126.564896135266,151.9,147.055555555556,27.8108120775372,24.9168278366045,97.4957115996883,0.8085,27.5507246376812,88.6797246376812,121.733997584541,216.9,211.222222222222,24.2382859848528,22.4589676131248,130.777456521739
2013-04-05,"2013w14","Final",105.7,0.840775,125.717344117035,99.3588843508293,0.9345,19.0767319636885,19.4517319636885,125.868713091257,151.042857142857,146.254945054945,26.5098287404272,24.9540961905362,96.6090672791123,0.8085,27.4487816531295,88.5777816531295,121.05437768753,215.614285714286,210.440659340659,24.4453104084176,22.5213935720015,130.032114906832
